,,,Annual 1992-1993,Annual 1992-1993,Annual 1992-1993,Annual 1993-1994,Annual 1993-1994,Annual 1993-1994,Annual 1994-1995,Annual 1994-1995,Annual 1994-1995,Annual 1995-1996,Annual 1995-1996,Annual 1995-1996,Annual 1996-1997,Annual 1996-1997,Annual 1996-1997,Annual 1997-1998,Annual 1997-1998,Annual 1997-1998,Annual 1998-1999,Annual 1998-1999,Annual 1998-1999,Annual 1999-2000,Annual 1999-2000,Annual 1999-2000,Annual 2000-2001,Annual 2000-2001,Annual 2000-2001,Annual 2001-2002,Annual 2001-2002,Annual 2001-2002,Annual 2002-2003,Annual 2002-2003,Annual 2002-2003,Annual 2003-2004,Annual 2003-2004,Annual 2003-2004,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
College Name,Award Type,Award Type Description,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount,Student Count,Award Count,Aid Amount
Pasadena,Grants,Chafee Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,"$34,382",26,37,"$101,630",23,37,"$95,665",34,49,"$139,658",38,60,"$156,966",30,50,"$127,061",41,73,"$185,000",44,79,"$211,442",56,88,"$220,000",48,80,"$200,000",,,,,,,,,,,,,,,,,,,58,79,"$213,865",38,58,"$143,333",32,46,"$141,727",51,81,"$243,594"
Pasadena,Grants,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,560,"$420,000",,,,,,,,,,,,,,,
Pasadena,Grants,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$776,1,1,$737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Grants,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,426,"$237,958",567,567,"$825,286","3,052","5,195","$1,577,783"
Pasadena,Grants,EOPS Grant,79,79,"$39,450",117,117,"$52,375",163,163,"$74,700",185,185,"$88,425",233,233,"$130,700",256,256,"$123,182",239,239,"$127,267",777,777,"$297,897","1,150","1,150","$506,690","1,140","1,140","$477,355","1,183","1,907","$470,781","1,035","1,555","$525,708","1,103","1,589","$453,490","1,020","1,418","$483,263",821,"1,108","$303,758",802,"1,117","$333,171",717,777,"$206,304",799,"1,083","$152,988",821,"1,105","$155,699",512,690,"$121,283",453,524,"$89,793",,,,133,136,"$24,250",289,290,"$44,935",285,285,"$39,900",304,304,"$15,680",29,29,$580,685,685,"$55,803",570,573,"$115,819",487,487,"$194,347",603,603,"$361,114"
Pasadena,Grants,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,"1,513","$453,900","1,506","2,436","$730,800","1,887","2,938","$1,467,700",,,,,,,,,,,,,,,
Pasadena,Grants,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,424","1,424","$925,623",135,181,"$89,512",,,,,,
Pasadena,Grants,Other grant: institutional source,32,32,"$17,278",52,52,"$22,550",75,75,"$33,300",48,48,"$22,568",49,49,"$23,163",48,48,"$22,807",88,88,"$37,654",71,71,"$37,556",151,151,"$77,330",5,5,"$2,102",70,77,"$25,623",131,144,"$47,646",85,91,"$26,944",76,78,"$22,640",71,73,"$12,888",157,159,"$29,316",,,,,,,,,,,,,,,,27,27,"$14,640",,,,,,,,,,,,,,,,290,291,"$141,292",24,24,"$12,000",,,,31,38,"$25,300"
Pasadena,Grants,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,"$28,837",80,105,"$42,047",72,84,"$40,512",63,66,"$38,112",19,19,"$7,600",31,31,"$18,000",10,10,"$12,600",65,85,"$43,701",,,,1,2,"$2,500",1,1,"$1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Grants,Pell Grant,"2,812","2,812","$3,180,343","3,483","3,483","$5,526,771","4,065","4,065","$6,483,696","4,269","4,269","$6,672,860","3,863","3,863","$6,274,044","3,662","3,662","$6,485,552","3,778","3,778","$7,144,065","3,684","3,684","$7,134,461","3,839","3,839","$7,944,507","4,418","4,418","$10,056,746","4,839","9,126","$11,980,197","5,128","10,063","$12,622,714","5,150","8,835","$12,728,397","5,025","9,379","$13,547,427","4,856","9,328","$11,972,603","5,054","9,791","$14,233,118","6,489","11,880","$18,915,636","6,810","12,983","$23,661,856","8,387","16,662","$29,867,786","8,380","15,635","$28,934,696","7,378","15,140","$28,399,556","7,884","14,424","$29,504,103","8,925","15,953","$31,967,312","8,716","16,165","$32,087,191","9,505","16,888","$33,969,505","9,719","17,955","$35,928,895","8,994","16,333","$33,297,143","9,970","18,371","$37,330,628","8,699","15,337","$31,640,771","7,079","13,241","$26,082,877","7,597","14,413","$30,904,459"
Pasadena,Grants,SEOG (Supplemental Educational Opportunity Grant),963,963,"$464,356","1,010","1,010","$412,452","1,083","1,083","$445,355","1,124","1,124","$446,387","1,411","1,411","$525,077",977,977,"$406,353","1,812","1,812","$421,679","2,075","2,075","$414,650","1,140","1,140","$443,608",826,826,"$387,012","1,064","1,704","$498,491",996,"1,516","$438,445",917,"1,473","$516,151",738,"1,270","$468,331",841,"1,308","$449,131",831,"1,210","$398,035","1,053","1,317","$430,275",934,"1,201","$433,042","1,039","1,230","$462,096",970,"1,090","$394,464",864,"1,137","$457,260",784,"1,149","$497,830","1,914","2,728","$620,986",896,"1,705","$426,250","2,803","4,500","$674,989","3,079","4,847","$726,904","3,133","4,628","$976,406","2,930","4,972","$871,080","3,875","3,875","$1,595,646","2,104","3,381","$507,085","3,918","5,183","$1,115,560"
Pasadena,Grants,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,892","2,799","$3,734,384","1,819","2,943","$3,835,981","2,001","3,167","$4,249,060","1,908","2,860","$3,173,949","1,781","2,740","$5,923,066"
Pasadena,Loans,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,,,,225,225,"$496,589",245,245,"$573,105",254,254,"$612,833",266,465,"$627,727",265,448,"$614,574",249,404,"$584,328",215,340,"$485,468",219,356,"$532,896",237,395,"$712,725",349,558,"$1,058,699",371,603,"$1,146,362",418,676,"$1,316,280",411,654,"$1,302,979",306,477,"$1,000,209",287,457,"$906,668",,,,296,478,"$952,250",232,381,"$768,424",178,276,"$618,993",175,277,"$628,068",157,238,"$540,598",110,164,"$379,071",79,122,"$281,325",156,233,"$560,601"
Pasadena,Loans,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,,,,55,55,"$127,114",66,66,"$171,675",91,91,"$231,427",107,184,"$305,376",128,220,"$335,470",129,214,"$344,662",114,178,"$300,867",117,190,"$319,101",107,171,"$327,363",180,281,"$623,446",215,347,"$756,921",251,420,"$903,204",268,444,"$930,303",197,324,"$684,018",194,320,"$712,732",,,,243,412,"$921,339",163,271,"$644,305",138,221,"$512,636",165,273,"$688,985",143,226,"$601,650",98,160,"$455,747",64,102,"$297,520",130,202,"$551,109"
Pasadena,Loans,Other loan: institutional source,,,,,,,,,,,,,,,,,,,,,,8,8,"$15,211",4,4,"$6,316",9,9,"$13,851",6,12,"$10,841",7,13,"$10,242",16,28,"$29,182",7,12,"$11,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Loans,Other loan: non-institutional source,14,14,"$25,302",11,11,"$22,903",19,19,"$40,019",10,10,"$22,416",19,19,"$37,334",17,17,"$36,225",13,13,"$30,625",1,1,"$2,270",,,,,,,,,,,,,1,2,"$9,893",,,,10,16,"$15,973",13,23,"$34,195",16,27,"$34,825",15,25,"$40,441",15,27,"$33,688",9,15,"$33,082",8,15,"$57,105",5,8,"$8,252",,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Loans,Perkins Loan,25,25,"$46,166",32,32,"$54,734",44,44,"$76,485",28,28,"$60,296",29,29,"$61,351",26,26,"$46,493",29,29,"$58,435",33,33,"$71,579",66,66,"$98,885",74,74,"$99,313",32,56,"$50,603",36,60,"$49,550",51,84,"$75,125",43,65,"$62,143",52,87,"$78,975",46,79,"$103,024",20,30,"$37,834",20,29,"$37,050",,,,2,3,"$3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Loans,PLUS loan: parent loan for undergraduate student,,,,,,,1,1,"$4,000",1,1,"$7,400",,,,1,1,"$4,422",1,1,"$6,475",,,,1,1,"$10,000",,,,1,2,"$6,686",2,3,"$10,000",4,6,"$20,250",,,,1,2,"$5,000",1,1,"$5,140",1,1,"$5,000",1,2,"$7,000",1,1,"$1,950",7,13,"$63,196",5,8,"$29,770",3,5,"$21,734",1,2,"$5,264",2,3,"$19,626",3,5,"$20,767",4,5,"$11,814",2,3,"$14,695",2,3,"$12,392",1,2,"$9,578",,,,3,6,"$32,479"
Pasadena,Loans,"Stafford Loan, subsidized",234,234,"$548,072",278,278,"$662,871",338,338,"$789,484",106,106,"$292,794",56,56,"$168,790",32,32,"$95,419",39,39,"$120,603",15,15,"$37,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Loans,"Stafford Loan, unsubsidized",,,,22,22,"$41,305",100,100,"$270,650",32,32,"$102,042",35,35,"$115,092",17,17,"$57,520",21,21,"$70,284",9,9,"$18,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasadena,Loans,Supplemental Loans for Students (SLS),11,11,"$35,793",11,11,"$36,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
