,,1994-1995,1994-1995,1995-1996,1995-1996,1996-1997,1996-1997,1997-1998,1997-1998,1998-1999,1998-1999,1999-2000,1999-2000,2000-2001,2000-2001,2001-2002,2001-2002,2002-2003,2002-2003,2003-2004,2003-2004,2004-2005,2004-2005,2005-2006,2005-2006,2006-2007,2006-2007,2007-2008,2007-2008
State Name,College Name,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) 
State of California,Sacramento City,,,,9,4,14,23,31,19,51,33,71,49,84,52,117,50,135,63,130,73,153,68,148,51,183,72,182
State of California,Saddleback,1,,3,9,41,49,46,73,66,84,78,112,111,147,160,174,148,165,141,211,144,205,169,218,169,250,173,266
State of California,San Bernardino,,,1,,12,4,27,13,24,32,36,34,66,49,88,54,76,75,93,98,97,135,112,116,79,170,140,168
State of California,San Diego Adult,,,1,2,4,5,17,8,15,27,30,43,32,60,38,101,56,98,51,129,57,122,57,135,63,125,67,117
State of California,San Diego City,,,3,3,9,16,15,20,30,54,36,78,40,109,56,138,49,163,44,174,66,189,58,184,70,185,95,157
State of California,San Diego Mesa,,,6,9,15,14,23,37,51,82,61,117,69,186,108,202,76,233,116,252,105,278,125,265,131,251,187,277
State of California,San Diego Miramar,,,4,5,6,6,6,10,11,27,31,30,24,68,52,64,36,93,39,108,57,145,61,131,56,117,68,133
State of California,San Francisco,,,10,14,25,36,85,72,70,79,66,102,87,101,68,133,85,105,97,148,125,137,113,142,127,164,109,164
State of California,San Francisco Ctrs,,,,,,3,6,4,5,3,9,9,13,11,16,13,20,12,18,23,23,20,39,33,33,40,36,47
State of California,San Joaquin Delta,,1,2,7,32,19,72,42,86,61,135,67,143,89,193,103,204,152,193,168,219,199,224,251,209,252,218,278
State of California,San Jose City,,,1,1,3,10,7,11,8,22,23,16,30,41,29,36,28,39,45,67,48,62,32,80,43,70,45,85
State of California,San Mateo,,,1,3,5,6,36,20,36,30,70,25,58,29,76,59,60,51,62,69,72,61,78,64,78,71,61,78
State of California,Santa Ana,,,2,2,21,22,23,26,45,44,37,51,41,78,127,73,58,94,56,112,70,114,76,118,64,115,100,128
State of California,Santa Barbara,,,2,4,14,30,34,30,41,40,36,52,61,120,63,144,62,155,90,169,78,184,89,203,95,223,120,189
State of California,Santa Barbara Cont,,,,,,,1,,,,3,4,4,5,6,2,2,3,3,5,4,5,6,2,9,11,8,7
State of California,Santa Monica,1,,12,9,69,45,116,59,150,87,189,120,188,160,204,185,190,208,230,239,231,249,246,250,213,275,261,317
State of California,Santa Rosa,1,,1,5,7,12,32,43,39,68,51,123,98,161,86,182,86,202,109,229,100,257,109,218,120,236,113,257
State of California,Santiago Canyon,,,,,,,,,3,6,12,3,14,18,59,22,46,30,46,40,56,45,59,57,72,62,75,58
State of California,Sequoias,,,,1,18,4,35,16,38,24,57,25,42,40,85,42,56,61,57,68,72,82,160,94,143,122,164,134
State of California,Shasta,,,,2,22,6,32,16,27,23,60,27,100,58,81,79,89,71,88,109,106,108,97,109,101,146,136,164
State of California,Sierra,,,1,10,15,30,46,65,54,92,50,134,53,146,74,170,60,186,75,219,100,276,102,239,89,276,109,269
State of California,Siskiyous,,1,,2,3,6,2,22,12,30,7,41,12,38,11,45,5,62,20,93,29,88,19,78,23,91,23,87
State of California,Skyline,,,,1,2,4,17,11,18,8,12,16,37,28,31,26,20,36,31,37,33,37,45,41,37,37,53,50
State of California,Solano,1,1,,2,7,11,20,27,23,49,28,84,54,106,61,135,65,154,70,167,77,226,63,213,77,203,80,253
State of California,Southwestern,,,1,5,11,16,26,25,40,38,51,64,80,88,104,106,109,162,125,200,152,259,169,214,183,286,211,288
State of California,Taft,,,,,,1,1,3,2,7,3,10,1,10,1,20,1,17,1,17,3,17,5,18,9,27,16,36
State of California,Ventura,,,1,3,22,21,35,44,52,51,59,74,60,77,81,119,84,136,83,119,86,143,84,135,86,137,148,141
State of California,Victor Valley,,,,4,8,4,16,14,20,15,20,27,49,37,63,44,70,70,94,121,113,118,125,132,114,150,203,187
State of California,West Hills Coalinga,,,,2,1,5,3,11,5,16,10,20,13,28,29,46,25,68,30,66,32,87,43,76,43,104,69,100
State of California,West Hills Lemoore,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2
State of California,West LA,,,2,5,9,7,18,11,25,21,45,28,30,45,40,67,43,58,33,86,51,94,50,109,59,101,49,94
State of California,West Valley,,1,2,6,7,21,21,30,26,32,52,57,51,61,63,68,81,90,89,103,83,118,92,127,55,121,79,129
State of California,Yuba,,,,1,5,12,10,31,13,27,23,45,18,53,38,67,43,98,41,143,65,131,51,153,60,165,57,159
