,,2014-2015,2014-2015,2015-2016,2015-2016,2016-2017,2016-2017,2017-2018,2017-2018,2018-2019,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022
State Name,College Name,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) 
State of California,San Joaquin Delta,245,353,209,329,149,273,180,271,161,249,129,297,123,304,122,268
State of California,San Jose City,67,90,41,88,41,89,31,100,31,82,17,80,19,82,24,83
State of California,San Mateo,77,105,63,91,48,98,43,71,36,80,34,87,32,79,32,87
State of California,Santa Ana,106,165,77,111,75,136,51,123,53,118,83,126,65,146,60,121
State of California,Santa Barbara,133,254,129,304,156,318,133,314,131,341,139,349,116,316,100,270
State of California,Santa Barbara Cont,6,15,6,10,8,12,1,7,2,7,3,11,4,9,7,9
State of California,Santa Monica,447,412,364,398,338,389,295,377,201,364,161,294,155,283,148,265
State of California,Santa Rosa,103,332,75,315,72,298,79,264,75,274,54,287,55,263,41,222
State of California,Santiago Canyon,85,80,41,49,40,77,30,53,44,64,45,82,49,98,57,77
State of California,Sequoias,192,237,195,179,185,169,162,159,151,174,116,177,112,175,92,149
State of California,Shasta,113,125,57,156,64,150,53,181,63,203,79,203,66,208,41,170
State of California,Sierra,159,424,94,438,85,374,79,329,73,298,54,290,42,300,35,271
State of California,Siskiyous,19,85,18,82,14,66,10,46,14,46,14,53,12,55,8,54
State of California,Skyline,47,67,35,52,31,66,34,48,32,57,27,64,36,65,23,65
State of California,Solano,91,262,83,222,59,216,69,201,42,216,54,187,46,188,25,131
State of California,Southwestern,247,263,185,218,171,200,171,213,144,190,145,197,135,195,104,193
State of California,Taft,27,58,22,55,17,65,17,46,16,42,10,58,9,62,7,43
State of California,Ventura,120,255,106,249,110,212,84,173,79,185,61,155,73,166,46,179
State of California,Victor Valley,91,155,79,166,71,136,63,140,58,173,59,156,44,146,50,136
State of California,West Hills Coalinga,56,67,37,62,36,58,40,50,29,55,37,47,32,70,25,62
State of California,West Hills Lemoore,20,24,25,13,10,25,15,23,11,23,13,21,17,24,10,30
State of California,West LA,69,91,47,103,45,58,47,75,35,61,22,69,35,69,47,71
State of California,West Valley,79,110,50,125,39,124,37,116,29,99,45,138,24,114,38,121
State of California,Woodland,2,8,2,5,3,4,2,9,2,9,4,8,3,10,10,20
State of California,Yuba,65,181,39,156,38,148,39,141,44,134,33,128,29,168,31,150
